path	branch	remote	group
work/axiom	fury	https://dev.azure.com/gauss-dev/Magnet/_git/axiom	magnet
work/bgfx-test/bgfx	master	https://github.com/bkaradzic/bgfx.git	vendored
work/bgfx-test/zig-bgfx	master	https://github.com/jean-dao/zig-bgfx.git	vendored
work/bgfx-test/zig-gamedev	main	https://github.com/zig-gamedev/zig-gamedev.git	vendored
work/drift	nubis-cubed	git@personal-github:Matthew-Tersigni/drift.git	personal
work/lib-magnet-npm-review	fury	https://dev.azure.com/gauss-dev/Magnet/_git/lib-magnet-npm-review	magnet
work/m1-auth	fury	https://dev.azure.com/gauss-dev/Magnet/_git/m1-auth	magnet
work/m1-orchestrator	main	https://dev.azure.com/gauss-dev/Magnet/_git/m1-orchestrator	magnet
work/m1h-api	fury	https://dev.azure.com/gauss-dev/Magnet/_git/m1h-api	magnet
work/magnet-review	fury	https://dev.azure.com/gauss-dev/Magnet/_git/magnet-review	magnet
work/pkg-review-authn	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-authn	magnet
work/pkg-review-authz	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-authz	magnet
work/pkg-review-boilerplate	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-boilerplate	magnet
work/pkg-review-core-mvc	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-core-mvc	magnet
work/pkg-review-export-parser	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-export-parser	magnet
work/pkg-review-files	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-files	magnet
work/pkg-review-ingestion	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-ingestion	magnet
work/pkg-review-messages	main	https://dev.azure.com/gauss-dev/Magnet/_git/pkg-review-messages	magnet
work/review-anacondeploy	main	https://dev.azure.com/gauss-dev/Magnet/_git/review-anacondeploy	magnet
work/review-argocd	review-eks-saas-dev-5	https://dev.azure.com/gauss-dev/Magnet/_git/review-argocd	magnet
work/review-argocd-dev	argocd	https://dev.azure.com/gauss-dev/Magnet/_git/review-argocd-dev	magnet
work/review-frontend	main	https://dev.azure.com/gauss-dev/Magnet/_git/review-frontend	magnet
work/review-frontend-fury	main	https://dev.azure.com/gauss-dev/Magnet/_git/review-frontend	magnet
work/review-local-dev	fury	https://dev.azure.com/gauss-dev/Magnet/_git/review-local-dev	magnet
work/review-notifications	main	https://dev.azure.com/gauss-dev/Magnet/_git/review-notifications	magnet
work/review-tenants	main	https://dev.azure.com/gauss-dev/Magnet/_git/review-tenants	magnet
work/tools/tool-magnet-internal-workflow	fury	https://dev.azure.com/gauss-dev/Magnet/_git/tool-magnet-internal-workflow	magnet
personal/arpg	master	git@personal-github:Matthew-Tersigni/arpg.git	personal
